
,,,,,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
Rk,Coach,From,To,Yrs,G,W,L,W/L%,W &gt; .500,Plyfs,G,W,L,W/L%,Conf,Champ
1,Stan Albeck,1980,1980,1,82,37,45,.451,-4.0,,,,,,,
2,David Blatt,2015,2015,1,19,12,7,.632,2.5,,,,,,,
3,Mike Brown,2006,2014,6,492,305,187,.620,59.0,5,71,42,29,.592,1,0
4,Chuck Daly,1982,1982,1,41,9,32,.220,-11.5,,,,,,,
5,Don Delaney,1981,1982,2,26,7,19,.269,-6.0,,,,,,,
6,Bill Fitch,1971,1979,9,738,304,434,.412,-65.0,3,18,7,11,.389,0,0
7,Mike Fratello,1994,1999,6,460,248,212,.539,18.0,4,14,2,12,.143,0,0
8,George Karl,1985,1986,2,149,61,88,.409,-13.5,1,4,1,3,.250,0,0
9,Bob Kloppenburg,1982,1982,1,3,0,3,.000,-1.5,,,,,,,
10,Gene Littles,1986,1986,1,15,4,11,.267,-3.5,,,,,,,
11,John Lucas,2002,2003,2,124,37,87,.298,-25.0,,,,,,,
12,Brendan Malone,2005,2005,1,18,8,10,.444,-1.0,,,,,,,
13,Bill Musselman,1981,1982,2,94,27,67,.287,-20.0,,,,,,,
14,Tom Nissalke,1983,1984,2,164,51,113,.311,-31.0,,,,,,,
15,Byron Scott,2011,2013,3,230,64,166,.278,-51.0,0,0,0,0,,0,0
16,Paul Silas,2004,2005,2,146,69,77,.473,-4.0,,,,,,,
17,Keith Smart,2003,2003,1,40,9,31,.225,-11.0,,,,,,,
18,Lenny Wilkens,1987,1993,7,574,316,258,.551,29.0,5,41,18,23,.439,0,0
19,Randy Wittman,2000,2001,2,164,62,102,.378,-20.0,,,,,,,
