id,date,hometeam,homescore,awayTeam,awayscore
52f2f5cb90a4948418328766,2010-10-26T04:00:00.000Z,Boston Celtics,88,Miami Heat,80
52f2f5cb90a4948418328767,2010-10-26T04:00:00.000Z,Los Angeles Lakers,112,Houston Rockets,110
52f2f5cc90a4948418328768,2010-10-26T04:00:00.000Z,Portland Trail Blazers,106,Phoenix Suns,92
52f2f5cd90a4948418328769,2010-10-27T04:00:00.000Z,Cleveland Cavaliers,95,Boston Celtics,87
52f2f5ce90a494841832876a,2010-10-27T04:00:00.000Z,Dallas Mavericks,101,Charlotte Bobcats,86
52f2f5ce90a494841832876b,2010-10-27T04:00:00.000Z,Denver Nuggets,110,Utah Jazz,88
52f2f5cf90a494841832876c,2010-10-27T04:00:00.000Z,Golden State Warriors,132,Houston Rockets,128
52f2f5d290a4948418328770,2010-10-27T04:00:00.000Z,New Jersey Nets,101,Detroit Pistons,98
52f2f5d390a4948418328771,2010-10-27T04:00:00.000Z,New Orleans Hornets,95,Milwaukee Bucks,91
52f2f5d490a4948418328772,2010-10-27T04:00:00.000Z,Oklahoma City Thunder,106,Chicago Bulls,95
52f2f5d590a4948418328774,2010-10-27T04:00:00.000Z,San Antonio Spurs,122,Indiana Pacers,109
52f2f5d790a4948418328776,2010-10-28T04:00:00.000Z,Orlando Magic,112,Washington Wizards,83
52f2f5d890a4948418328778,2010-10-29T04:00:00.000Z,Boston Celtics,105,New York Knicks,101
52f2f5db90a494841832877c,2010-10-29T04:00:00.000Z,Golden State Warriors,109,Los Angeles Clippers,91
52f2f5dc90a494841832877d,2010-10-29T04:00:00.000Z,Miami Heat,96,Orlando Magic,70
52f2f5dd90a494841832877e,2010-10-29T04:00:00.000Z,Minnesota Timberwolves,96,Milwaukee Bucks,85
52f2f5dd90a494841832877f,2010-10-29T04:00:00.000Z,New Jersey Nets,106,Sacramento Kings,100
52f2f5de90a4948418328780,2010-10-29T04:00:00.000Z,New Orleans Hornets,101,Denver Nuggets,95
52f2f5e090a4948418328783,2010-10-29T04:00:00.000Z,Toronto Raptors,101,Cleveland Cavaliers,81
52f2f5e190a4948418328784,2010-10-30T04:00:00.000Z,Atlanta Hawks,99,Washington Wizards,95
52f2f5e290a4948418328785,2010-10-30T04:00:00.000Z,Chicago Bulls,101,Detroit Pistons,91
52f2f5e490a4948418328788,2010-10-30T04:00:00.000Z,Indiana Pacers,99,Philadelphia 76ers,86
52f2f5e590a4948418328789,2010-10-30T04:00:00.000Z,Memphis Grizzlies,109,Minnesota Timberwolves,89
52f2f5e590a494841832878a,2010-10-30T04:00:00.000Z,Milwaukee Bucks,98,Charlotte Bobcats,88
52f2f5e890a494841832878e,2010-10-31T04:00:00.000Z,Los Angeles Lakers,107,Golden State Warriors,83
52f2f5eb90a4948418328791,2010-11-01T04:00:00.000Z,Chicago Bulls,110,Portland Trail Blazers,98
52f2f5ec90a4948418328793,2010-11-01T04:00:00.000Z,Sacramento Kings,111,Toronto Raptors,108
52f2f5ee90a4948418328796,2010-11-02T04:00:00.000Z,Los Angeles Lakers,124,Memphis Grizzlies,105
52f2f5ef90a4948418328797,2010-11-02T04:00:00.000Z,Miami Heat,129,Minnesota Timberwolves,97
52f2f5f190a4948418328799,2010-11-02T04:00:00.000Z,Washington Wizards,116,Philadelphia 76ers,115
52f2f5f190a494841832879a,2010-11-03T04:00:00.000Z,Atlanta Hawks,94,Detroit Pistons,85
52f2f5f290a494841832879b,2010-11-03T04:00:00.000Z,Boston Celtics,105,Milwaukee Bucks,102
52f2f5f390a494841832879d,2010-11-03T04:00:00.000Z,Golden State Warriors,115,Memphis Grizzlies,109
52f2f5f590a494841832879f,2010-11-03T04:00:00.000Z,Los Angeles Clippers,107,Oklahoma City Thunder,92
52f2f5f690a49484183287a1,2010-11-03T04:00:00.000Z,Orlando Magic,128,Minnesota Timberwolves,86
52f2f5f790a49484183287a2,2010-11-03T04:00:00.000Z,Philadelphia 76ers,101,Indiana Pacers,75
52f2f5f990a49484183287a5,2010-11-03T04:00:00.000Z,Utah Jazz,125,Toronto Raptors,108
52f2f5fc90a49484183287a8,2010-11-05T04:00:00.000Z,Boston Celtics,110,Chicago Bulls,105
52f2f5fc90a49484183287a9,2010-11-05T04:00:00.000Z,Denver Nuggets,111,Los Angeles Clippers,104
52f2f5fd90a49484183287aa,2010-11-05T04:00:00.000Z,Detroit Pistons,97,Charlotte Bobcats,90
52f2f5fe90a49484183287ab,2010-11-05T04:00:00.000Z,Golden State Warriors,85,Utah Jazz,78
52f2f5ff90a49484183287ad,2010-11-05T04:00:00.000Z,Los Angeles Lakers,108,Toronto Raptors,103
52f2f60190a49484183287af,2010-11-05T04:00:00.000Z,New Orleans Hornets,96,Miami Heat,93
52f2f60190a49484183287b0,2010-11-05T04:00:00.000Z,New York Knicks,112,Washington Wizards,91
52f2f60290a49484183287b1,2010-11-05T04:00:00.000Z,Orlando Magic,105,New Jersey Nets,90
52f2f60490a49484183287b3,2010-11-05T04:00:00.000Z,Phoenix Suns,123,Memphis Grizzlies,118
52f2f60790a49484183287b6,2010-11-06T04:00:00.000Z,Miami Heat,101,New Jersey Nets,89
52f2f60890a49484183287b8,2010-11-06T04:00:00.000Z,Portland Trail Blazers,97,Toronto Raptors,84
52f2f60a90a49484183287ba,2010-11-06T04:00:00.000Z,San Antonio Spurs,124,Houston Rockets,121
52f2f60b90a49484183287bb,2010-11-06T04:00:00.000Z,Utah Jazz,109,Los Angeles Clippers,107
52f2f60d90a49484183287be,2010-11-07T04:00:00.000Z,Detroit Pistons,102,Golden State Warriors,97
52f2f60e90a49484183287bf,2010-11-07T04:00:00.000Z,Houston Rockets,120,Minnesota Timberwolves,94
52f2f60e90a49484183287c0,2010-11-07T04:00:00.000Z,Los Angeles Lakers,121,Portland Trail Blazers,96
52f2f61190a49484183287c4,2010-11-08T05:00:00.000Z,Chicago Bulls,94,Denver Nuggets,92
52f2f61290a49484183287c5,2010-11-08T05:00:00.000Z,Dallas Mavericks,89,Boston Celtics,87
52f2f61390a49484183287c6,2010-11-08T05:00:00.000Z,Memphis Grizzlies,109,Phoenix Suns,99
52f2f61390a49484183287c7,2010-11-08T05:00:00.000Z,Orlando Magic,93,Atlanta Hawks,89
52f2f61590a49484183287c9,2010-11-09T05:00:00.000Z,Indiana Pacers,144,Denver Nuggets,113
52f2f61590a49484183287ca,2010-11-09T05:00:00.000Z,Los Angeles Lakers,99,Minnesota Timberwolves,94
52f2f61790a49484183287cc,2010-11-09T05:00:00.000Z,Milwaukee Bucks,107,New York Knicks,80
52f2f61890a49484183287ce,2010-11-09T05:00:00.000Z,New Orleans Hornets,101,Los Angeles Clippers,82
52f2f61990a49484183287cf,2010-11-09T05:00:00.000Z,Portland Trail Blazers,100,Detroit Pistons,78
52f2f61d90a49484183287d4,2010-11-10T05:00:00.000Z,Oklahoma City Thunder,109,Philadelphia 76ers,103
52f2f61f90a49484183287d7,2010-11-10T05:00:00.000Z,San Antonio Spurs,107,Los Angeles Clippers,95
52f2f62190a49484183287d9,2010-11-10T05:00:00.000Z,Washington Wizards,98,Houston Rockets,91
52f2f62190a49484183287da,2010-11-11T05:00:00.000Z,Chicago Bulls,120,Golden State Warriors,90
52f2f62290a49484183287db,2010-11-11T05:00:00.000Z,Denver Nuggets,118,Los Angeles Lakers,112
52f2f62490a49484183287de,2010-11-12T05:00:00.000Z,Dallas Mavericks,99,Philadelphia 76ers,90
52f2f62690a49484183287e1,2010-11-12T05:00:00.000Z,Minnesota Timberwolves,112,New York Knicks,103
52f2f62790a49484183287e2,2010-11-12T05:00:00.000Z,Oklahoma City Thunder,110,Portland Trail Blazers,108
52f2f62990a49484183287e4,2010-11-12T05:00:00.000Z,Phoenix Suns,103,Sacramento Kings,89
52f2f62b90a49484183287e7,2010-11-13T05:00:00.000Z,Chicago Bulls,103,Washington Wizards,96
52f2f62d90a49484183287ea,2010-11-13T05:00:00.000Z,Miami Heat,109,Toronto Raptors,100
52f2f62e90a49484183287eb,2010-11-13T05:00:00.000Z,Milwaukee Bucks,79,Golden State Warriors,72
52f2f62f90a49484183287ed,2010-11-13T05:00:00.000Z,New Orleans Hornets,107,Portland Trail Blazers,87
52f2f63090a49484183287ee,2010-11-13T05:00:00.000Z,San Antonio Spurs,116,Philadelphia 76ers,93
52f2f63190a49484183287ef,2010-11-14T05:00:00.000Z,Atlanta Hawks,111,Minnesota Timberwolves,105
52f2f63490a49484183287f4,2010-11-15T05:00:00.000Z,Charlotte Bobcats,113,Minnesota Timberwolves,110
52f2f63590a49484183287f5,2010-11-15T05:00:00.000Z,Dallas Mavericks,98,New Orleans Hornets,95
52f2f63690a49484183287f6,2010-11-15T05:00:00.000Z,Golden State Warriors,101,Detroit Pistons,97
52f2f63790a49484183287f8,2010-11-15T05:00:00.000Z,Orlando Magic,89,Memphis Grizzlies,72
52f2f63890a49484183287f9,2010-11-15T05:00:00.000Z,Phoenix Suns,100,Denver Nuggets,94
52f2f63a90a49484183287fb,2010-11-16T05:00:00.000Z,Cleveland Cavaliers,101,Philadelphia 76ers,93
52f2f63a90a49484183287fc,2010-11-16T05:00:00.000Z,Denver Nuggets,120,New York Knicks,118
52f2f63e90a4948418328801,2010-11-16T05:00:00.000Z,Washington Wizards,109,Toronto Raptors,94
52f2f63f90a4948418328802,2010-11-17T05:00:00.000Z,Boston Celtics,114,Washington Wizards,83
52f2f64090a4948418328804,2010-11-17T05:00:00.000Z,Miami Heat,123,Phoenix Suns,96
52f2f64190a4948418328805,2010-11-17T05:00:00.000Z,Minnesota Timberwolves,113,Los Angeles Clippers,111
52f2f64290a4948418328806,2010-11-17T05:00:00.000Z,New Orleans Hornets,99,Dallas Mavericks,97
52f2f64390a4948418328807,2010-11-17T05:00:00.000Z,Oklahoma City Thunder,116,Houston Rockets,99
52f2f64590a494841832880a,2010-11-17T05:00:00.000Z,San Antonio Spurs,103,Chicago Bulls,94
52f2f64590a494841832880b,2010-11-17T05:00:00.000Z,Utah Jazz,98,New Jersey Nets,88
52f2f64690a494841832880c,2010-11-18T05:00:00.000Z,Indiana Pacers,107,Los Angeles Clippers,80
52f2f64790a494841832880d,2010-11-18T05:00:00.000Z,Orlando Magic,105,Phoenix Suns,89
52f2f64890a494841832880e,2010-11-18T05:00:00.000Z,Portland Trail Blazers,86,Denver Nuggets,83
52f2f64b90a4948418328812,2010-11-19T05:00:00.000Z,Miami Heat,95,Charlotte Bobcats,87
52f2f64c90a4948418328814,2010-11-19T05:00:00.000Z,New Orleans Hornets,108,Cleveland Cavaliers,101
52f2f64d90a4948418328815,2010-11-19T05:00:00.000Z,Philadelphia 76ers,90,Milwaukee Bucks,79
52f2f64e90a4948418328816,2010-11-19T05:00:00.000Z,Sacramento Kings,86,New Jersey Nets,81
52f2f64e90a4948418328817,2010-11-19T05:00:00.000Z,Toronto Raptors,106,Houston Rockets,96
52f2f65090a4948418328819,2010-11-19T05:00:00.000Z,Washington Wizards,89,Memphis Grizzlies,86
52f2f65190a494841832881b,2010-11-20T05:00:00.000Z,Charlotte Bobcats,123,Phoenix Suns,105
52f2f65290a494841832881c,2010-11-20T05:00:00.000Z,Denver Nuggets,107,New Jersey Nets,103
52f2f65490a494841832881f,2010-11-20T05:00:00.000Z,Memphis Grizzlies,97,Miami Heat,95
52f2f65690a4948418328822,2010-11-20T05:00:00.000Z,San Antonio Spurs,116,Cleveland Cavaliers,92
52f2f65790a4948418328823,2010-11-21T05:00:00.000Z,Detroit Pistons,115,Washington Wizards,110
52f2f65890a4948418328824,2010-11-21T05:00:00.000Z,Los Angeles Lakers,117,Golden State Warriors,89
52f2f65990a4948418328826,2010-11-21T05:00:00.000Z,Toronto Raptors,102,Boston Celtics,101
52f2f65c90a494841832882a,2010-11-22T05:00:00.000Z,Los Angeles Clippers,99,New Orleans Hornets,95
52f2f65d90a494841832882c,2010-11-22T05:00:00.000Z,Oklahoma City Thunder,117,Minnesota Timberwolves,107
52f2f65e90a494841832882d,2010-11-22T05:00:00.000Z,San Antonio Spurs,106,Orlando Magic,97
52f2f65f90a494841832882e,2010-11-22T05:00:00.000Z,Utah Jazz,94,Sacramento Kings,83
