twoperc,threeperc,assists,turno,blocks,orebounds,drebounds,ftPerc,points,steals,minutes,nameteam
.464,.500,25,18,4,8,34,.640,88,6,240,Boston Celtics
.417,.429,21,12,4,14,30,.821,112,11,240,Los Angeles Lakers
.462,.500,31,12,2,18,30,.667,106,11,240,Portland Trail Blazers
.444,.300,24,14,4,8,29,.810,95,5,240,Cleveland Cavaliers
.547,.267,29,16,5,7,34,.833,101,12,240,Dallas Mavericks
.438,.300,23,15,2,12,34,.829,110,9,240,Denver Nuggets
.554,.400,25,12,7,14,31,.846,132,5,240,Golden State Warriors
.409,.400,17,12,6,21,30,.783,98,9,240,Portland Trail Blazers
.525,.500,20,15,9,9,35,.871,119,7,240,Atlanta Hawks
.459,.364,25,13,4,14,31,.745,117,8,240,Sacramento Kings
.488,.429,17,11,4,9,35,.708,101,4,240,New Jersey Nets
.430,.235,23,9,0,6,38,.793,95,4,240,New Orleans Hornets
.410,.222,17,12,10,9,35,.809,106,11,240,Oklahoma City Thunder
.478,.500,15,16,6,5,32,.742,97,8,240,Miami Heat
.506,.450,29,14,5,9,26,.806,122,15,240,San Antonio Spurs
.432,.292,12,15,10,13,36,.882,98,4,240,New York Knicks
.558,.333,20,21,3,11,42,.563,112,5,240,Orlando Magic
.463,.385,20,14,4,12,32,.765,110,11,240,Phoenix Suns
.484,.313,33,17,1,14,40,.667,105,2,240,Boston Celtics
.450,.414,25,10,11,9,25,.833,104,5,240,Indiana Pacers
.388,.267,17,13,3,14,31,.694,91,12,240,Memphis Grizzlies
.388,.133,16,12,4,18,29,.841,105,14,240,Oklahoma City Thunder
.531,.583,32,17,7,9,37,.529,109,8,240,Golden State Warriors
.407,.500,17,12,5,14,37,.778,96,6,240,Miami Heat
.376,.273,13,18,11,20,42,.722,96,8,240,Minnesota Timberwolves
.525,.545,18,26,4,5,38,.800,106,2,240,New Jersey Nets
.494,.353,23,15,8,11,24,.792,101,11,240,New Orleans Hornets
.514,.353,24,20,8,10,36,.839,104,3,240,Atlanta Hawks
.484,.444,21,10,3,13,33,.833,114,8,240,Los Angeles Lakers
.476,.300,24,19,5,11,35,.944,101,11,240,Toronto Raptors
.420,.263,19,16,4,13,30,.867,99,4,240,Atlanta Hawks
.430,.278,17,15,10,14,37,.710,101,11,240,Chicago Bulls
.519,.600,24,14,4,11,32,.750,107,7,240,Sacramento Kings
.378,.370,16,12,4,13,35,.879,107,9,240,Denver Nuggets
.416,.292,18,18,6,16,35,.720,99,10,240,Indiana Pacers
.462,.400,27,17,4,9,34,.833,109,22,240,Memphis Grizzlies
.451,.500,19,18,5,14,26,.852,98,7,240,Milwaukee Bucks
.487,.462,22,14,7,9,32,.667,100,7,240,Portland Trail Blazers
.500,.636,20,14,5,3,37,.824,99,7,240,New Orleans Hornets
.468,.438,23,14,7,8,33,.690,99,7,240,Dallas Mavericks
.443,.316,25,20,5,18,38,.767,107,9,240,Los Angeles Lakers
.537,.313,29,8,6,5,35,.706,101,10,240,Miami Heat
.530,.636,32,15,3,8,34,.833,120,6,240,Utah Jazz
.606,.385,27,15,4,9,27,.594,110,4,240,Chicago Bulls
.481,.429,28,18,3,7,32,.800,97,11,240,San Antonio Spurs
.477,.417,15,11,4,16,24,.815,111,5,240,Sacramento Kings
.440,.294,26,7,7,14,29,.700,100,7,240,Atlanta Hawks
.519,.333,33,8,7,10,26,1.000,109,10,240,Boston Celtics
.512,.609,22,19,4,20,39,.800,124,8,240,Los Angeles Lakers
.582,.571,31,14,7,8,39,.806,129,9,240,Miami Heat
.475,.292,21,12,8,10,29,.778,90,10,240,Portland Trail Blazers
.474,.500,24,21,2,9,27,.837,116,15,265,Washington Wizards
.537,.214,25,13,3,3,32,.826,94,3,240,Atlanta Hawks
.468,.333,24,16,6,10,33,.844,105,9,265,Boston Celtics
.464,.467,22,13,5,12,33,.895,102,6,240,Dallas Mavericks
.413,.433,26,19,8,19,29,.765,115,11,240,Golden State Warriors
.456,.385,20,8,11,12,33,.714,107,9,240,New Orleans Hornets
.525,.500,22,12,6,7,34,.556,107,5,240,Los Angeles Clippers
.431,.263,21,16,3,11,30,.783,85,7,240,Charlotte Bobcats
.500,.484,27,13,15,17,39,.656,128,9,240,Orlando Magic
.469,.333,21,10,8,9,45,.840,101,9,240,Philadelphia 76ers
.545,.429,22,23,4,11,34,.688,112,6,240,San Antonio Spurs
.464,.524,24,6,4,7,36,.821,112,4,240,Los Angeles Lakers
.565,.438,30,14,4,7,28,.880,125,9,240,Utah Jazz
.500,.667,27,17,6,10,28,.828,120,12,240,New York Knicks
.494,.200,12,16,5,15,32,.923,107,3,265,Oklahoma City Thunder
.512,.364,27,14,3,3,28,.880,110,11,265,Boston Celtics
.518,.238,26,9,3,8,29,.909,111,6,240,Denver Nuggets
.427,.538,14,12,3,9,22,.963,97,11,240,Detroit Pistons
.376,.143,16,16,3,21,31,.591,85,11,240,Golden State Warriors
.386,.400,16,15,2,9,36,.733,94,9,240,Milwaukee Bucks
.481,.333,22,12,5,7,24,.844,108,12,240,Los Angeles Lakers
.543,.222,27,15,8,8,35,.808,113,5,240,Atlanta Hawks
.494,.286,26,13,1,10,32,.824,96,9,240,New Orleans Hornets
.506,.414,23,18,11,13,28,.667,112,11,240,New York Knicks
.479,.393,16,17,3,13,37,.813,105,5,240,Orlando Magic
.547,.231,22,17,1,13,28,.792,123,6,240,Cleveland Cavaliers
.426,.400,23,28,2,21,34,.719,123,13,290,Phoenix Suns
.415,.313,22,7,6,7,30,.619,91,4,240,Orlando Magic
.451,.619,21,12,2,9,29,.762,103,16,240,Denver Nuggets
.486,.400,19,12,7,6,38,.793,101,7,240,Miami Heat
.449,.412,17,19,5,10,37,.818,87,6,240,New Orleans Hornets
.453,.250,19,18,5,14,29,.893,97,10,240,Portland Trail Blazers
.482,.200,13,15,5,13,30,.739,100,7,240,Memphis Grizzlies
.485,.429,28,11,6,13,34,.680,124,11,265,San Antonio Spurs
.412,.333,21,10,7,17,26,.742,109,6,290,Utah Jazz
.476,.444,19,12,2,5,32,.808,107,7,240,Cleveland Cavaliers
.556,.478,28,14,1,11,24,.773,118,7,240,Phoenix Suns
.451,.529,27,11,4,13,33,.679,102,8,240,Detroit Pistons
.442,.313,23,6,4,10,39,.830,120,9,240,Houston Rockets
.549,.471,33,15,4,14,35,.867,121,6,240,Los Angeles Lakers
.474,.389,20,16,3,8,37,.714,106,9,240,Philadelphia 76ers
.474,.400,22,11,3,8,32,.800,92,9,240,Boston Celtics
.424,.462,22,16,9,15,31,.647,95,9,240,San Antonio Spurs
.415,.385,20,15,12,8,39,.636,94,6,240,Chicago Bulls
.500,.400,20,17,8,4,34,.850,89,6,240,Dallas Mavericks
.476,.333,19,14,2,16,29,.857,109,12,240,Memphis Grizzlies
.430,.182,16,10,2,11,32,.625,93,9,240,Orlando Magic
.527,.313,19,20,7,11,31,.813,109,13,240,Golden State Warriors
.644,.533,37,14,7,10,35,.762,144,7,240,Indiana Pacers
.449,.333,24,18,3,14,28,.750,99,9,240,Los Angeles Lakers
.484,.421,30,12,5,10,34,.857,116,6,265,Utah Jazz
.513,.313,18,13,5,12,33,.786,107,9,240,Milwaukee Bucks
.439,.529,27,8,2,12,32,.545,93,2,240,Cleveland Cavaliers
.506,.500,29,13,7,5,28,.714,101,11,240,New Orleans Hornets
.500,.429,26,14,5,11,34,.875,100,10,240,Portland Trail Blazers
.517,.533,23,12,3,11,33,.714,108,11,240,Milwaukee Bucks
.415,.471,21,8,5,15,33,.543,95,4,240,New Jersey Nets
.541,.360,30,9,5,11,38,.455,106,8,240,Dallas Mavericks
.528,.500,23,14,3,9,27,.719,122,13,240,Golden State Warriors
.493,.143,17,14,7,5,29,.946,109,11,240,Oklahoma City Thunder
.500,.357,24,14,3,6,29,.893,104,7,240,Utah Jazz
.471,.364,15,15,2,12,29,.600,98,5,240,Minnesota Timberwolves
.493,.611,21,16,11,10,31,.867,107,6,240,San Antonio Spurs
.493,.429,23,16,13,8,28,.818,101,9,240,Charlotte Bobcats
.443,.462,25,17,10,16,35,.636,98,10,240,Washington Wizards
.548,.368,29,12,10,11,35,.913,120,14,240,Chicago Bulls
.489,.280,25,10,5,11,32,.806,118,5,240,Denver Nuggets
.544,.563,24,10,0,9,26,.680,112,5,240,Boston Celtics
.429,.333,25,9,3,15,28,.737,90,7,240,Utah Jazz
.443,.273,19,10,4,16,31,.793,99,10,240,Dallas Mavericks
.500,.389,17,15,9,9,32,.680,102,9,240,Houston Rockets
.476,.611,21,11,3,7,27,.667,113,10,265,Detroit Pistons
.436,.400,22,14,8,17,39,.762,112,9,240,Minnesota Timberwolves
.548,.500,20,12,8,9,21,.923,110,8,240,Oklahoma City Thunder
.500,.462,20,15,3,12,27,.774,110,9,240,Toronto Raptors
.519,.333,19,11,3,13,29,.630,103,8,240,Phoenix Suns
.493,.438,23,22,6,16,32,.750,93,5,240,Charlotte Bobcats
.443,.286,22,9,7,11,29,.759,96,4,240,Utah Jazz
.447,.391,24,14,10,12,28,.765,103,9,240,Chicago Bulls
.456,.400,21,13,7,7,35,1.000,99,5,240,Indiana Pacers
.577,.583,32,14,5,3,29,.731,116,12,265,Boston Celtics
.506,.300,18,9,2,11,27,.722,109,5,240,Miami Heat
.337,.375,15,18,9,19,39,.810,79,8,240,Milwaukee Bucks
.416,.320,18,9,4,13,30,.731,91,4,240,Orlando Magic
.481,.333,23,11,5,10,30,.926,107,8,240,New Orleans Hornets
.482,.444,21,13,5,10,37,.839,116,10,240,San Antonio Spurs
.450,.455,22,15,7,15,25,.872,111,12,240,Atlanta Hawks
.512,.550,31,12,3,10,22,.684,121,11,240,Phoenix Suns
.450,.333,28,14,1,11,36,.722,104,8,240,Houston Rockets
.409,.550,16,12,5,13,32,.895,117,9,240,San Antonio Spurs
.539,.333,18,12,5,9,28,.789,100,7,240,Detroit Pistons
.521,.500,25,16,11,8,37,.750,113,5,240,Charlotte Bobcats
