twoperc,threeperc,assists,turno,blocks,orebounds,drebounds,ftPerc,points,steals,minutes,nameteam,gameid
.464,.500,25,18,4,8,34,.640,88,6,240,Boston Celtics,52f2f5cb90a4948418328766
.417,.429,21,12,4,14,30,.821,112,11,240,Los Angeles Lakers,52f2f5cb90a4948418328767
.462,.500,31,12,2,18,30,.667,106,11,240,Portland Trail Blazers,52f2f5cc90a4948418328768
.444,.300,24,14,4,8,29,.810,95,5,240,Cleveland Cavaliers,52f2f5cd90a4948418328769
.547,.267,29,16,5,7,34,.833,101,12,240,Dallas Mavericks,52f2f5ce90a494841832876a
.438,.300,23,15,2,12,34,.829,110,9,240,Denver Nuggets,52f2f5ce90a494841832876b
.554,.400,25,12,7,14,31,.846,132,5,240,Golden State Warriors,52f2f5cf90a494841832876c
.409,.400,17,12,6,21,30,.783,98,9,240,Portland Trail Blazers,52f2f5d090a494841832876d
.525,.500,20,15,9,9,35,.871,119,7,240,Atlanta Hawks,52f2f5d190a494841832876e
.459,.364,25,13,4,14,31,.745,117,8,240,Sacramento Kings,52f2f5d190a494841832876f
.488,.429,17,11,4,9,35,.708,101,4,240,New Jersey Nets,52f2f5d290a4948418328770
.430,.235,23,9,0,6,38,.793,95,4,240,New Orleans Hornets,52f2f5d390a4948418328771
.410,.222,17,12,10,9,35,.809,106,11,240,Oklahoma City Thunder,52f2f5d490a4948418328772
.478,.500,15,16,6,5,32,.742,97,8,240,Miami Heat,52f2f5d490a4948418328773
.506,.450,29,14,5,9,26,.806,122,15,240,San Antonio Spurs,52f2f5d590a4948418328774
.432,.292,12,15,10,13,36,.882,98,4,240,New York Knicks,52f2f5d690a4948418328775
.558,.333,20,21,3,11,42,.563,112,5,240,Orlando Magic,52f2f5d790a4948418328776
.463,.385,20,14,4,12,32,.765,110,11,240,Phoenix Suns,52f2f5d790a4948418328777
.484,.313,33,17,1,14,40,.667,105,2,240,Boston Celtics,52f2f5d890a4948418328778
.450,.414,25,10,11,9,25,.833,104,5,240,Indiana Pacers,52f2f5d990a4948418328779
.388,.267,17,13,3,14,31,.694,91,12,240,Memphis Grizzlies,52f2f5da90a494841832877a
.388,.133,16,12,4,18,29,.841,105,14,240,Oklahoma City Thunder,52f2f5da90a494841832877b
.531,.583,32,17,7,9,37,.529,109,8,240,Golden State Warriors,52f2f5db90a494841832877c
.407,.500,17,12,5,14,37,.778,96,6,240,Miami Heat,52f2f5dc90a494841832877d
.376,.273,13,18,11,20,42,.722,96,8,240,Minnesota Timberwolves,52f2f5dd90a494841832877e
.525,.545,18,26,4,5,38,.800,106,2,240,New Jersey Nets,52f2f5dd90a494841832877f
.494,.353,23,15,8,11,24,.792,101,11,240,New Orleans Hornets,52f2f5de90a4948418328780
.514,.353,24,20,8,10,36,.839,104,3,240,Atlanta Hawks,52f2f5df90a4948418328781
.484,.444,21,10,3,13,33,.833,114,8,240,Los Angeles Lakers,52f2f5df90a4948418328782
.476,.300,24,19,5,11,35,.944,101,11,240,Toronto Raptors,52f2f5e090a4948418328783
.420,.263,19,16,4,13,30,.867,99,4,240,Atlanta Hawks,52f2f5e190a4948418328784
.430,.278,17,15,10,14,37,.710,101,11,240,Chicago Bulls,52f2f5e290a4948418328785
.519,.600,24,14,4,11,32,.750,107,7,240,Sacramento Kings,52f2f5e290a4948418328786
.378,.370,16,12,4,13,35,.879,107,9,240,Denver Nuggets,52f2f5e390a4948418328787
.416,.292,18,18,6,16,35,.720,99,10,240,Indiana Pacers,52f2f5e490a4948418328788
.462,.400,27,17,4,9,34,.833,109,22,240,Memphis Grizzlies,52f2f5e590a4948418328789
.451,.500,19,18,5,14,26,.852,98,7,240,Milwaukee Bucks,52f2f5e590a494841832878a
.487,.462,22,14,7,9,32,.667,100,7,240,Portland Trail Blazers,52f2f5e690a494841832878b
.500,.636,20,14,5,3,37,.824,99,7,240,New Orleans Hornets,52f2f5e790a494841832878c
.468,.438,23,14,7,8,33,.690,99,7,240,Dallas Mavericks,52f2f5e890a494841832878d
.443,.316,25,20,5,18,38,.767,107,9,240,Los Angeles Lakers,52f2f5e890a494841832878e
.537,.313,29,8,6,5,35,.706,101,10,240,Miami Heat,52f2f5e990a494841832878f
.530,.636,32,15,3,8,34,.833,120,6,240,Utah Jazz,52f2f5ea90a4948418328790
.606,.385,27,15,4,9,27,.594,110,4,240,Chicago Bulls,52f2f5eb90a4948418328791
.481,.429,28,18,3,7,32,.800,97,11,240,San Antonio Spurs,52f2f5eb90a4948418328792
.477,.417,15,11,4,16,24,.815,111,5,240,Sacramento Kings,52f2f5ec90a4948418328793
.440,.294,26,7,7,14,29,.700,100,7,240,Atlanta Hawks,52f2f5ed90a4948418328794
.519,.333,33,8,7,10,26,1.000,109,10,240,Boston Celtics,52f2f5ee90a4948418328795
.512,.609,22,19,4,20,39,.800,124,8,240,Los Angeles Lakers,52f2f5ee90a4948418328796
.582,.571,31,14,7,8,39,.806,129,9,240,Miami Heat,52f2f5ef90a4948418328797
.475,.292,21,12,8,10,29,.778,90,10,240,Portland Trail Blazers,52f2f5f090a4948418328798
.474,.500,24,21,2,9,27,.837,116,15,265,Washington Wizards,52f2f5f190a4948418328799
.537,.214,25,13,3,3,32,.826,94,3,240,Atlanta Hawks,52f2f5f190a494841832879a
.468,.333,24,16,6,10,33,.844,105,9,265,Boston Celtics,52f2f5f290a494841832879b
.464,.467,22,13,5,12,33,.895,102,6,240,Dallas Mavericks,52f2f5f390a494841832879c
.413,.433,26,19,8,19,29,.765,115,11,240,Golden State Warriors,52f2f5f390a494841832879d
.456,.385,20,8,11,12,33,.714,107,9,240,New Orleans Hornets,52f2f5f490a494841832879e
.525,.500,22,12,6,7,34,.556,107,5,240,Los Angeles Clippers,52f2f5f590a494841832879f
.431,.263,21,16,3,11,30,.783,85,7,240,Charlotte Bobcats,52f2f5f690a49484183287a0
.500,.484,27,13,15,17,39,.656,128,9,240,Orlando Magic,52f2f5f690a49484183287a1
.469,.333,21,10,8,9,45,.840,101,9,240,Philadelphia 76ers,52f2f5f790a49484183287a2
.545,.429,22,23,4,11,34,.688,112,6,240,San Antonio Spurs,52f2f5f890a49484183287a3
.464,.524,24,6,4,7,36,.821,112,4,240,Los Angeles Lakers,52f2f5f990a49484183287a4
.565,.438,30,14,4,7,28,.880,125,9,240,Utah Jazz,52f2f5f990a49484183287a5
.500,.667,27,17,6,10,28,.828,120,12,240,New York Knicks,52f2f5fa90a49484183287a6
.494,.200,12,16,5,15,32,.923,107,3,265,Oklahoma City Thunder,52f2f5fb90a49484183287a7
.512,.364,27,14,3,3,28,.880,110,11,265,Boston Celtics,52f2f5fc90a49484183287a8
.518,.238,26,9,3,8,29,.909,111,6,240,Denver Nuggets,52f2f5fc90a49484183287a9
.427,.538,14,12,3,9,22,.963,97,11,240,Detroit Pistons,52f2f5fd90a49484183287aa
.376,.143,16,16,3,21,31,.591,85,11,240,Golden State Warriors,52f2f5fe90a49484183287ab
.386,.400,16,15,2,9,36,.733,94,9,240,Milwaukee Bucks,52f2f5ff90a49484183287ac
.481,.333,22,12,5,7,24,.844,108,12,240,Los Angeles Lakers,52f2f5ff90a49484183287ad
.543,.222,27,15,8,8,35,.808,113,5,240,Atlanta Hawks,52f2f60090a49484183287ae
.494,.286,26,13,1,10,32,.824,96,9,240,New Orleans Hornets,52f2f60190a49484183287af
.506,.414,23,18,11,13,28,.667,112,11,240,New York Knicks,52f2f60190a49484183287b0
.479,.393,16,17,3,13,37,.813,105,5,240,Orlando Magic,52f2f60290a49484183287b1
.547,.231,22,17,1,13,28,.792,123,6,240,Cleveland Cavaliers,52f2f60390a49484183287b2
.426,.400,23,28,2,21,34,.719,123,13,290,Phoenix Suns,52f2f60490a49484183287b3
.415,.313,22,7,6,7,30,.619,91,4,240,Orlando Magic,52f2f60490a49484183287b4
.451,.619,21,12,2,9,29,.762,103,16,240,Denver Nuggets,52f2f60590a49484183287b5
.486,.400,19,12,7,6,38,.793,101,7,240,Miami Heat,52f2f60790a49484183287b6
.449,.412,17,19,5,10,37,.818,87,6,240,New Orleans Hornets,52f2f60890a49484183287b7
.453,.250,19,18,5,14,29,.893,97,10,240,Portland Trail Blazers,52f2f60890a49484183287b8
.482,.200,13,15,5,13,30,.739,100,7,240,Memphis Grizzlies,52f2f60990a49484183287b9
.485,.429,28,11,6,13,34,.680,124,11,265,San Antonio Spurs,52f2f60a90a49484183287ba
.412,.333,21,10,7,17,26,.742,109,6,290,Utah Jazz,52f2f60b90a49484183287bb
.476,.444,19,12,2,5,32,.808,107,7,240,Cleveland Cavaliers,52f2f60b90a49484183287bc
.556,.478,28,14,1,11,24,.773,118,7,240,Phoenix Suns,52f2f60c90a49484183287bd
.451,.529,27,11,4,13,33,.679,102,8,240,Detroit Pistons,52f2f60d90a49484183287be
.442,.313,23,6,4,10,39,.830,120,9,240,Houston Rockets,52f2f60e90a49484183287bf
.549,.471,33,15,4,14,35,.867,121,6,240,Los Angeles Lakers,52f2f60e90a49484183287c0
.474,.389,20,16,3,8,37,.714,106,9,240,Philadelphia 76ers,52f2f60f90a49484183287c1
.474,.400,22,11,3,8,32,.800,92,9,240,Boston Celtics,52f2f61090a49484183287c2
.424,.462,22,16,9,15,31,.647,95,9,240,San Antonio Spurs,52f2f61090a49484183287c3
.415,.385,20,15,12,8,39,.636,94,6,240,Chicago Bulls,52f2f61190a49484183287c4
.500,.400,20,17,8,4,34,.850,89,6,240,Dallas Mavericks,52f2f61290a49484183287c5
.476,.333,19,14,2,16,29,.857,109,12,240,Memphis Grizzlies,52f2f61390a49484183287c6
.430,.182,16,10,2,11,32,.625,93,9,240,Orlando Magic,52f2f61390a49484183287c7
.527,.313,19,20,7,11,31,.813,109,13,240,Golden State Warriors,52f2f61490a49484183287c8
.644,.533,37,14,7,10,35,.762,144,7,240,Indiana Pacers,52f2f61590a49484183287c9
.449,.333,24,18,3,14,28,.750,99,9,240,Los Angeles Lakers,52f2f61590a49484183287ca
