player,from,to
Anthony Bennett,2013-11-08,2013-11-09
Anthony Bennett,2013-12-20,2013-12-21
Anthony Bennett,2014-02-28,2014-02-28
Anthony Bennett,2014-03-10,2014-08-01
Andrew Bynum,2013-11-13,2013-11-15
Earl Clark,2013-12-01,2013-12-01
Luol Deng,2014-03-19,2014-03-22
Luol Deng,2014-04-11,2014-04-16
Carrick Felix,2014-01-28,2014-08-01
Kyrie Irving,2013-11-13,2013-11-13
Kyrie Irving,2014-01-02,2014-01-05
Kyrie Irving,2014-03-16,2014-03-17
Jarrett Jack,2013-11-24,2013-11-24
Jarrett Jack,2014-01-05,2014-01-07
Sergey Karasev,2013-10-30,2013-11-02
Sergey Karasev,2013-03-20,2013-03-29			
C.J. Miles,2013-11-20,2013-11-29
C.J. Miles,2014-02-11,2014-02-11
C.J. Miles,2014-02-21,2014-08-01
Anderson Varejao,2014-01-28,2014-02-01
Anderson Varejao,2014-02-11,2014-02-21
Anderson Varejao,2014-03-30,2014-03-31
Dion Waiters,2013-11-15,2013-11-15 	
Dion Waiters,2013-12-20,2013-12-23 	
Dion Waiters,2014-02-18,2014-02-26 	
Dion Waiters,2014-03-18,2014-03-18
Tyler Zeller,2013-11-22,2013-11-27
Tyler Zeller,2013-12-14,2013-12-20	
Omri Casspi,2012-12-12,2012-12-19
Omri Casspi,2013-02-24,2013-03-13
Wayne Ellington,2013-03-15,2013-03-15
Daniel Gibson,2012-11-18,2012-12-19
Daniel Gibson,2012-12-28,2013-01-11
Daniel Gibson,2012-12-28,2013-01-11
Daniel Gibson,2013-01-26,2013-02-03 	
Daniel Gibson,2013-02-24,2013-02-28
Daniel Gibson,2013-03-07,2013-03-10
Daniel Gibson,2013-04-07,2013-04-13 
Kyrie Irving,2012-11-19,2012-12-19
Kyrie Irving,2013-02-26,2013-03-01
Kyrie Irving,2013-03-10,2013-04-01
Shaun Livingston,2013-04-14,2013-04-14
C.J. Miles,2013-01-07,2013-01-09
C.J. Miles,2013-01-22,2013-01-26
C.J. Miles,2013-04-01,2013-04-15
Anderson Varejao,2012-11-08,2013-08-01	
Dion Waiters,2012-11-10,2012-11-11
Dion Waiters,2012-12-02,2012-12-13
Dion Waiters,2013-03-04,2013-03-07	
Dion Waiters,2013-03-19,2013-03-26
Dion Waiters,2013-04-13,2013-04-13	
Luke Walton,2013-01-07,2013-01-09
Luke Walton,2013-01-26,2013-02-03
Luke Walton,2013-04-06,2013-04-15
Tyler Zeller,2013-03-04,2013-03-04
