Player,from,to,team
Baron Davis,2010/08/01,2011/08/01, Cleveland Cavaliers
Semih Erden,2010/08/01,2012/08/01, Cleveland Cavaliers
Christian Eyenga,2010/08/01,2012/08/01, Cleveland Cavaliers
Alonzo Gee,2010/08/01,2013/08/01, Cleveland Cavaliers
Daniel Gibson,2010/08/01,2013/08/01, Cleveland Cavaliers
Joey Graham,2010/08/01,2011/08/01, Cleveland Cavaliers
Luke Harangody,2010/08/01,2012/08/01, Cleveland Cavaliers
Manny Harris,2010/08/01,2012/08/01, Cleveland Cavaliers
J.J. Hickson,2010/08/01,2011/08/01, Cleveland Cavaliers
Ryan Hollins,2010/08/01,2012/08/01, Cleveland Cavaliers
Antawn Jamison,2010/08/01,2012/08/01, Cleveland Cavaliers
Jamario Moon,2010/08/01,2011/08/01, Cleveland Cavaliers
Anthony Parker,2010/08/01,2012/08/01, Cleveland Cavaliers
Leon Powe,2010/08/01,2011/08/01, Cleveland Cavaliers
Samardo Samuels,2010/08/01,2013/08/01, Cleveland Cavaliers
Ramon Sessions,2010/08/01,2012/08/01, Cleveland Cavaliers
Anderson Varejao,2010/08/01,2013/08/01, Cleveland Cavaliers
Jawad Williams,2010/08/01,2011/08/01, Cleveland Cavaliers
Mo Williams,2010/08/01,2011/08/01, Cleveland Cavaliers
Omri Casspi,2011/08/01,2012/08/01, Cleveland Cavaliers
Lester Hudson,2011/08/01,2012/08/01, Cleveland Cavaliers
Kyrie Irving,2011/08/01,2013/08/01, Cleveland Cavaliers
D.J. Kennedy,2011/08/01,2012/08/01, Cleveland Cavaliers
Samardo Samuels,2011/08/01,2013/08/01, Cleveland Cavaliers
Donald Sloan,2011/08/01,2013/08/01, Cleveland Cavaliers
Mychel Thompson,2011/08/01,2012/08/01, Cleveland Cavaliers
Tristan Thompson,2011/08/01,2013/08/01, Cleveland Cavaliers
Ben Uzoh,2011/08/01,2012/08/01, Cleveland Cavaliers
Luke Walton,2011/08/01,2013/08/01, Cleveland Cavaliers
Wayne Ellington, 2012/08/01,2013/08/01, Cleveland Cavaliers
Kevin Jones,2012/08/01,2013/08/01, Cleveland Cavaliers
Jon Leuer,2012/08/01,2013/08/01, Cleveland Cavaliers
Shaun Livingston,2012/08/01,2013/08/01, Cleveland Cavaliers
C.J. Miles,2012/08/01,2013/08/01, Cleveland Cavaliers
Jeremy Pargo,2012/08/01,2013/08/01, Cleveland Cavaliers
Chris Quinn,2012/08/01,2013/08/01, Cleveland Cavaliers
Marreese Speights,2012/08/01,2013/08/01, Cleveland Cavaliers
Dion Waiters,2012/08/01,2013/08/01, Cleveland Cavaliers
Tyler Zeller,2012/08/01,2013/08/01, Cleveland Cavaliers
Anthony Bennett,2013/08/01,2013/08/01, Cleveland Cavaliers
Andrew Bynum,2013/08/01,2013/08/01, Cleveland Cavaliers
Earl Clark,2013/08/01,2013/08/01, Cleveland Cavaliers
Seth Curry,2013/08/01,2013/08/01, Cleveland Cavaliers
Matthew Dellavedova,2013/08/01,2013/08/01, Cleveland Cavaliers
Luol Deng,2013/08/01,2013/08/01, Cleveland Cavaliers
Shane Edwards,2013/08/01,2013/08/01, Cleveland Cavaliers
Carrick Felix,2013/08/01,2013/08/01, Cleveland Cavaliers
Spencer Hawes,2013/08/01,2013/08/01, Cleveland Cavaliers
Scotty Hopson,2013/08/01,2013/08/01, Cleveland Cavaliers
Jarrett Jack,2013/08/01,2013/08/01, Cleveland Cavaliers
Sergey Karasev,2013/08/01,2013/08/01, Cleveland Cavaliers
Arinze Onuaku,2013/08/01,2013/08/01, Cleveland Cavaliers
Henry Sims,2013/08/01,2013/08/01, Cleveland Cavaliers
