name,Div,Conf
Atlanta Hawks,southeast,east
Boston Celtics,atlantic,east
Brooklyn Nets,atlantic,east
New Jersey Nets,atlantic,east
Charlotte Bobcats,southeast,east
Chicago Bulls,central,east
Cleveland Cavaliers,central,east
Dallas Mavericks,southwest,west
Denver Nuggets,northwest,west
Detroit Pistons,central,east
Golden State Warriors,pacific,west
Houston Rockets,southwest,west
Indiana Pacers,central,east
Los Angeles Clippers,pacific,west
Los Angeles Lakers,pacific,west
Memphis Grizzlies,southwest,west
Miami Heat,southeast,east
Milwaukee Bucks,central,east
Minnesota Timberwolves,northwest,west
New Orleans Pelicans,southwest,west
New Orleans Hornets,southwest,west
New York Knicks,atlantic,east
Oklahoma City Thunder,northwest,west
Orlando Magic,southeast,east
Philadelphia 76ers,atlantic,east
Phoenix Suns,pacific,west
Portland Trail Blazers,northwest,west
Sacramento Kings,pacific,west
San Antonio Spurs,southwest,west
Toronto Raptors,atlantic,east
Utah Jazz,northwest,west
Washington Wizards,southeast,east
